,team_id,team_code,game_num,date,goals,pim,shots,pp_perc,ppg,pp_opp,fo_win,blocked,takeaways,giveaways,hits
195,7,BUF,2022020196,2022-11-09T00:00:00Z,1,10,33,25.0,1.0,4.0,60.3,6,6,6,12
196,1,NJD,2022020197,2022-11-09T00:00:00Z,3,13,20,20.0,1.0,5.0,50.8,9,2,7,21
197,3,NYR,2022020198,2022-11-09T00:00:00Z,3,6,40,50.0,2.0,4.0,57.1,17,9,9,31
198,4,PHI,2022020199,2022-11-09T00:00:00Z,5,14,35,0.0,0.0,1.0,40.0,17,10,14,39
199,9,OTT,2022020200,2022-11-09T00:00:00Z,4,13,41,40.0,2.0,5.0,56.5,10,12,7,25
200,10,TOR,2022020201,2022-11-09T00:00:00Z,3,4,31,0.0,0.0,2.0,61.2,10,17,17,34
201,14,TBL,2022020202,2022-11-09T00:30:00Z,2,8,37,0.0,0.0,5.0,53.3,13,8,12,25
202,17,DET,2022020203,2022-11-09T00:00:00Z,2,4,43,0.0,0.0,7.0,47.3,12,5,10,22
203,52,WPG,2022020204,2022-11-09T01:00:00Z,5,9,33,0.0,0.0,1.0,49.0,15,11,14,23
204,55,SEA,2022020205,2022-11-09T03:00:00Z,5,4,20,0.0,0.0,1.0,41.3,22,10,5,16
205,26,LAK,2022020206,2022-11-09T03:30:00Z,1,2,30,0.0,0.0,4.0,57.1,12,3,15,25
206,13,FLA,2022020207,2022-11-10T00:00:00Z,3,6,37,25.0,1.0,4.0,45.3,16,9,8,26
207,15,WSH,2022020208,2022-11-10T00:30:00Z,1,11,25,0.0,0.0,4.0,49.1,17,9,7,36
208,8,MTL,2022020209,2022-11-10T00:30:00Z,5,6,29,25.0,1.0,4.0,47.2,15,4,18,9
209,24,ANA,2022020210,2022-11-10T03:00:00Z,1,57,32,0.0,0.0,4.0,50.0,13,6,9,18
210,6,BOS,2022020211,2022-11-11T00:00:00Z,3,17,28,0.0,0.0,5.0,67.9,12,7,7,25
211,12,CAR,2022020212,2022-11-11T00:00:00Z,7,4,32,25.0,1.0,4.0,55.6,5,8,4,12
212,1,NJD,2022020213,2022-11-11T00:00:00Z,4,8,41,33.3,1.0,3.0,50.0,11,7,7,6
213,29,CBJ,2022020214,2022-11-11T00:00:00Z,5,7,29,0.0,0.0,2.0,52.4,18,9,5,12
214,7,BUF,2022020215,2022-11-11T00:00:00Z,4,4,35,66.7,2.0,3.0,41.4,15,5,3,8
215,2,NYI,2022020216,2022-11-11T00:30:00Z,0,11,24,0.0,0.0,3.0,70.2,18,8,15,36
216,17,DET,2022020217,2022-11-11T00:00:00Z,2,6,20,0.0,0.0,2.0,51.1,15,4,3,31
217,19,STL,2022020218,2022-11-11T01:00:00Z,5,0,33,50.0,1.0,2.0,48.5,13,13,10,18
218,21,COL,2022020219,2022-11-11T02:00:00Z,5,4,35,66.7,2.0,3.0,44.9,21,9,8,23
219,26,LAK,2022020220,2022-11-11T03:30:00Z,2,8,35,0.0,0.0,4.0,31.6,13,3,9,20
220,10,TOR,2022020221,2022-11-12T00:00:00Z,2,2,30,33.3,1.0,3.0,50.0,13,8,15,14
221,15,WSH,2022020222,2022-11-12T00:00:00Z,5,38,24,0.0,0.0,6.0,37.8,22,9,7,13
222,25,DAL,2022020223,2022-11-12T01:30:00Z,4,11,29,0.0,0.0,1.0,52.5,6,6,7,17
223,55,SEA,2022020224,2022-11-12T03:00:00Z,0,6,28,0.0,0.0,4.0,58.0,5,12,9,29
224,4,PHI,2022020225,2022-11-12T18:00:00Z,1,16,38,0.0,0.0,3.0,55.2,14,9,9,59
225,13,FLA,2022020226,2022-11-12T21:00:00Z,2,10,42,33.3,1.0,3.0,46.6,8,9,16,15
226,1,NJD,2022020227,2022-11-13T00:00:00Z,4,12,26,12.5,1.0,8.0,58.2,6,9,3,12
227,7,BUF,2022020228,2022-11-13T00:00:00Z,1,8,31,0.0,0.0,3.0,52.5,13,11,4,9
228,8,MTL,2022020229,2022-11-13T00:00:00Z,5,8,42,20.0,1.0,5.0,46.0,8,2,18,15
229,10,TOR,2022020230,2022-11-13T00:00:00Z,3,8,34,50.0,1.0,2.0,56.2,19,9,21,30
230,2,NYI,2022020231,2022-11-13T00:30:00Z,4,4,46,0.0,0.0,2.0,55.7,17,3,12,15
231,18,NSH,2022020232,2022-11-13T01:00:00Z,2,22,18,0.0,0.0,4.0,49.0,22,6,4,25
232,21,COL,2022020233,2022-11-13T02:00:00Z,4,10,28,25.0,1.0,4.0,38.0,17,5,6,13
233,24,ANA,2022020234,2022-11-13T03:00:00Z,2,6,41,0.0,0.0,2.0,37.1,7,5,12,18
234,54,VGK,2022020235,2022-11-13T03:00:00Z,2,8,36,0.0,0.0,0.0,60.3,20,10,10,32
