player_id,games_played,goals,assists,points,gwg,ot_goals,shots,shooting_pctg,pim,plus_minus,pp_goals,pp_points,sh_goals,sh_points
8478427,79,27,53,80,4,2,195,0.138462,46,11,7,27,2,6
8478970,72,2,15,17,1,0,100,0.02,18,15,0,0,0,0
8479407,82,22,49,71,4,1,178,0.123596,12,-11,5,20,1,2
8479996,70,19,7,26,3,0,104,0.182692,39,3,1,2,0,0
8480002,82,28,38,66,6,3,211,0.132701,29,-6,11,23,0,1
8480336,81,9,22,31,1,1,179,0.050279,59,6,0,1,0,2
8480762,67,12,6,18,3,0,84,0.142857,8,7,0,0,0,1
8480817,72,8,29,37,1,0,123,0.065041,56,7,1,3,1,3
8480829,42,2,7,9,0,0,42,0.047619,8,3,0,0,0,0
8480830,79,31,39,70,3,0,203,0.152709,66,1,12,29,0,0
8481032,79,9,6,15,2,1,61,0.147541,19,-24,0,1,0,0
8481559,61,27,50,77,5,1,228,0.118421,10,0,4,23,1,2
8481721,66,13,18,31,0,0,149,0.087248,26,-3,2,5,0,0
8482093,71,32,34,66,7,2,224,0.142857,23,6,5,21,4,6
8482100,81,11,22,33,1,1,122,0.090164,33,18,4,10,1,1
8482110,82,20,22,42,1,0,158,0.126582,33,-2,4,7,3,3
8482684,68,6,29,35,1,0,150,0.04,32,-4,2,13,0,0
8482702,81,21,23,44,3,0,166,0.126506,25,12,4,9,0,0
8482809,81,22,31,53,3,1,174,0.126437,40,4,3,12,0,0
8483495,68,11,15,26,3,3,101,0.108911,26,-11,1,2,0,0
8474567,41,2,4,6,0,0,30,0.066667,18,8,0,0,0,0
8474716,79,6,16,22,2,1,90,0.066667,14,2,2,6,0,0
8475149,75,15,34,49,4,1,106,0.141509,12,18,3,9,0,1
